Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,22,TOR,4,4,26.3,4.3,10.5,.405,0.5,1.3,.400,3.8,9.3,.405,.429,1.5,2.8,.545,2.8,8.5,11.3,1.8,0.5,0.0,1.0,2.3,10.5
Steven Adams,C,28,MEM,3,3,30.7,5.7,9.0,.630,0.0,0.0,,5.7,9.0,.630,.630,1.7,1.7,1.000,6.3,6.7,13.0,4.7,1.0,0.3,2.3,1.7,13.0
Bam Adebayo,C,24,MIA,3,3,30.7,6.3,12.3,.514,0.0,0.0,,6.3,12.3,.514,.514,5.0,6.3,.789,3.0,11.0,14.0,2.0,1.0,0.3,2.7,2.7,17.7
LaMarcus Aldridge,C,36,BRK,3,0,20.0,4.7,7.0,.667,0.0,0.3,.000,4.7,6.7,.700,.667,1.7,2.7,.625,1.7,3.7,5.3,0.3,0.3,1.7,1.0,2.3,11.0
Nickeil Alexander-Walker,SG,23,NOP,4,4,33.0,6.3,16.3,.385,2.8,9.0,.306,3.5,7.3,.483,.469,2.0,2.3,.889,2.3,5.5,7.8,1.8,2.0,0.8,2.5,1.5,17.3
Grayson Allen,SG,26,MIL,4,4,28.5,4.3,10.8,.395,2.8,8.8,.314,1.5,2.0,.750,.523,2.0,2.0,1.000,0.0,4.0,4.0,2.0,1.0,0.3,0.5,1.3,13.3
Jarrett Allen,C,23,CLE,4,4,31.3,7.8,9.3,.838,0.0,0.0,,7.8,9.3,.838,.838,1.5,2.5,.600,1.8,7.8,9.5,1.3,1.3,0.8,1.5,1.8,17.0
Kyle Anderson,PF,28,MEM,3,0,19.3,1.7,8.0,.208,0.7,2.7,.250,1.0,5.3,.188,.250,1.3,1.3,1.000,1.3,4.0,5.3,1.7,1.0,0.7,0.0,1.3,5.3
Giannis Antetokounmpo,PF,27,MIL,4,4,30.0,8.3,17.3,.478,0.8,2.8,.273,7.5,14.5,.517,.500,7.3,10.0,.725,1.8,8.8,10.5,6.5,1.3,1.8,3.3,3.3,24.5
Thanasis Antetokounmpo,SF,29,MIL,4,1,17.8,2.5,3.8,.667,0.0,0.0,,2.5,3.8,.667,.667,1.0,1.3,.800,1.8,2.8,4.5,1.0,0.5,0.3,1.3,3.0,6.0
Carmelo Anthony,PF,37,LAL,4,0,27.3,4.8,10.5,.452,3.0,5.5,.545,1.8,5.0,.350,.595,1.8,2.0,.875,1.0,3.0,4.0,1.0,0.3,0.8,1.3,2.3,14.3
Cole Anthony,PG,21,ORL,4,4,32.0,5.0,13.8,.364,2.3,7.0,.321,2.8,6.8,.407,.445,3.0,3.8,.800,0.5,7.5,8.0,5.8,1.0,0.0,2.8,2.8,15.3
OG Anunoby,SF,24,TOR,4,4,34.5,6.0,16.5,.364,2.8,7.8,.355,3.3,8.8,.371,.447,2.8,3.0,.917,2.5,4.0,6.5,2.3,1.5,0.8,2.0,3.0,17.5
D.J. Augustin,PG,34,HOU,4,0,11.8,1.0,2.8,.364,0.8,1.8,.429,0.3,1.0,.250,.500,0.0,0.0,,0.0,0.0,0.0,2.0,0.3,0.0,1.3,0.8,2.8
Deni Avdija,SF,21,WAS,3,0,19.0,1.3,4.0,.333,0.3,2.0,.167,1.0,2.0,.500,.375,1.0,1.3,.750,1.0,4.3,5.3,1.3,0.7,1.0,0.7,1.7,4.0
Joel Ayayi,SG,21,WAS,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,C,23,PHO,3,3,30.3,4.3,8.7,.500,0.3,1.0,.333,4.0,7.7,.522,.519,1.3,2.0,.667,2.3,5.7,8.0,1.7,1.0,0.7,1.0,2.3,10.3
Marvin Bagley III,PF,22,SAC,1,0,10.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0
LaMelo Ball,PG,20,CHO,4,4,29.3,8.5,18.0,.472,4.0,8.0,.500,4.5,10.0,.450,.583,1.8,1.8,1.000,0.5,5.0,5.5,6.8,1.8,0.3,2.8,3.8,22.8
Lonzo Ball,PG,24,CHI,4,4,36.0,5.3,11.5,.457,3.3,7.5,.433,2.0,4.0,.500,.598,0.5,0.5,1.000,1.3,4.5,5.8,5.0,2.0,1.8,2.5,1.3,14.3
Mo Bamba,C,23,ORL,4,4,30.8,4.8,9.0,.528,1.8,4.5,.389,3.0,4.5,.667,.625,2.3,3.5,.643,2.3,5.8,8.0,1.8,1.0,1.8,2.3,3.5,13.5
Desmond Bane,SG,23,MEM,3,3,30.3,7.3,15.3,.478,2.7,7.7,.348,4.7,7.7,.609,.565,2.0,2.3,.857,0.3,4.3,4.7,3.0,1.3,0.3,1.7,2.7,19.3
Dalano Banton,SF,22,TOR,4,0,7.3,1.0,2.3,.444,0.3,0.5,.500,0.8,1.8,.429,.500,0.5,0.5,1.000,0.0,1.8,1.8,0.8,0.5,0.0,0.3,0.3,2.8
Harrison Barnes,PF,29,SAC,3,3,36.7,8.7,17.3,.500,5.0,9.0,.556,3.7,8.3,.440,.644,6.0,7.7,.783,3.3,7.0,10.3,1.7,1.0,0.0,2.0,0.3,28.3
Scottie Barnes,SF,20,TOR,4,4,34.3,7.0,12.5,.560,0.3,1.5,.167,6.8,11.0,.614,.570,2.5,3.5,.714,3.5,5.0,8.5,1.3,0.5,0.3,3.3,3.3,16.8
RJ Barrett,SF,21,NYK,4,4,34.3,4.5,11.5,.391,1.5,5.8,.261,3.0,5.8,.522,.457,1.5,2.5,.600,0.5,5.3,5.8,2.8,0.5,0.8,2.0,3.0,12.0
Will Barton,SF,31,DEN,4,4,33.5,6.8,13.0,.519,2.0,4.8,.421,4.8,8.3,.576,.596,0.8,1.5,.500,0.5,4.3,4.8,3.8,1.0,0.8,1.5,1.3,16.3
Charles Bassey,PF,21,PHI,2,0,2.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Keita Bates-Diop,SF,26,SAS,3,0,14.0,2.0,3.7,.545,0.3,1.0,.333,1.7,2.7,.625,.591,0.0,0.0,,0.0,3.0,3.0,0.0,0.7,0.0,1.0,1.3,4.3
Nicolas Batum,SF,33,LAC,2,1,22.5,1.5,4.0,.375,0.5,3.0,.167,1.0,1.0,1.000,.438,0.0,0.0,,0.0,5.5,5.5,1.5,1.0,1.0,1.0,1.0,3.5
Kent Bazemore,SF,32,LAL,4,4,28.3,2.3,5.8,.391,1.5,4.0,.375,0.8,1.8,.429,.522,1.0,1.5,.667,0.0,2.0,2.0,0.5,0.8,0.5,0.8,3.5,7.0
Darius Bazley,PF,21,OKC,4,4,25.0,3.3,9.8,.333,0.3,4.0,.063,3.0,5.8,.522,.346,2.0,3.0,.667,0.5,5.8,6.3,1.8,0.5,1.0,1.0,0.5,8.8
Bradley Beal,SG,28,WAS,2,2,33.0,7.5,20.5,.366,2.0,9.5,.211,5.5,11.0,.500,.415,4.0,4.0,1.000,0.0,3.0,3.0,4.0,2.0,0.0,4.5,1.5,21.0
Malik Beasley,SG,25,MIN,3,0,22.7,2.7,7.0,.381,0.7,4.0,.167,2.0,3.0,.667,.429,0.7,1.3,.500,0.3,1.7,2.0,2.0,1.0,0.7,0.3,0.7,6.7
DeAndre' Bembry,SF,27,BRK,3,0,7.7,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.3,0.3,1.000,0.3,0.7,1.0,0.3,0.7,0.3,0.3,0.7,2.3
Dāvis Bertāns,PF,29,WAS,3,0,19.0,1.7,6.0,.278,1.3,4.7,.286,0.3,1.3,.250,.389,1.0,1.0,1.000,0.3,1.3,1.7,1.0,0.3,0.0,0.3,2.0,5.7
Patrick Beverley,PG,33,MIN,2,0,21.0,3.0,6.0,.500,2.5,5.0,.500,0.5,1.0,.500,.708,0.5,1.0,.500,0.5,2.0,2.5,4.0,1.0,1.0,0.5,2.5,9.0
Saddiq Bey,SF,22,DET,3,3,33.3,7.3,15.7,.468,1.3,5.7,.235,6.0,10.0,.600,.511,2.0,2.3,.857,2.0,8.7,10.7,2.7,1.0,0.3,2.3,2.0,18.0
Khem Birch,C,29,TOR,4,0,20.8,2.3,4.0,.563,0.0,0.5,.000,2.3,3.5,.643,.563,2.0,2.5,.800,3.0,2.0,5.0,0.8,0.5,0.0,1.0,1.0,6.5
Goga Bitadze,C,22,IND,1,0,18.0,2.0,8.0,.250,1.0,3.0,.333,1.0,5.0,.200,.313,2.0,2.0,1.000,7.0,2.0,9.0,1.0,2.0,0.0,2.0,5.0,7.0
Nemanja Bjelica,PF,33,GSW,4,0,15.0,2.5,4.5,.556,0.3,0.8,.333,2.3,3.8,.600,.583,1.0,1.0,1.000,1.3,4.3,5.5,1.3,0.5,0.0,0.8,1.0,6.3
Eric Bledsoe,SG,32,LAC,3,3,28.3,5.0,11.7,.429,0.7,3.3,.200,4.3,8.3,.520,.457,3.0,4.3,.692,2.0,2.7,4.7,5.3,2.0,1.0,2.0,2.7,13.7
Bogdan Bogdanović,SG,29,ATL,3,3,26.0,3.7,8.0,.458,2.0,4.7,.429,1.7,3.3,.500,.583,0.7,0.7,1.000,0.3,2.3,2.7,1.7,0.7,0.0,0.7,2.0,10.0
Bojan Bogdanović,SF,32,UTA,3,3,30.3,6.7,14.0,.476,1.7,5.3,.313,5.0,8.7,.577,.536,1.7,2.0,.833,1.0,2.7,3.7,1.0,1.0,0.0,1.3,1.0,16.7
Bol Bol,PF,22,DEN,1,0,3.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Leandro Bolmaro,SF,21,MIN,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Isaac Bonga,SF,22,TOR,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0
Devin Booker,SG,25,PHO,3,3,30.7,7.0,17.7,.396,2.0,6.0,.333,5.0,11.7,.429,.453,2.3,2.7,.875,1.0,3.3,4.3,4.0,1.0,0.0,2.3,2.3,18.3
Brandon Boston Jr.,SG,20,LAC,1,0,9.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,1.0,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
