Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
Bitcoin BTC BTC,$59 549,1.4%,-4.6%,-7.7%,$44 140 644 167,$1 119 440 806 667
Ethereum ETH ETH,"$4 026,59",1.3%,-4.0%,3.7%,$29 894 001 594,$473 109 525 021
Binance Coin BNB BNB,"$460,10",1.6%,-4.7%,-5.8%,$2 345 463 825,$76 927 683 836
Tether USDT USDT,"$1,00",0.7%,0.3%,-0.0%,$101 313 406 553,$70 735 111 801
Cardano ADA ADA,"$1,99",2.1%,-8.1%,-5.9%,$3 966 768 783,$63 742 886 667
Solana SOL SOL,"$190,99",1.5%,-7.7%,22.1%,$4 376 818 569,$57 486 440 144
XRP XRP XRP,"$1,03",1.7%,-6.8%,-5.8%,$6 357 184 899,$48 194 642 082
Polkadot DOT DOT,"$41,72",1.4%,-5.4%,0.7%,$2 994 233 110,$43 584 115 823
Shiba Inu SHIB SHIB,"$0,000066991533",0.7%,40.5%,138.0%,$23 921 736 110,$33 270 281 553
USD Coin USDC USDC,"$1,01",1.0%,0.2%,0.6%,$4 903 785 141,$32 608 827 669
Dogecoin DOGE DOGE,"$0,245883",1.3%,-7.4%,-0.3%,$4 323 944 076,$32 466 404 480
Terra LUNA LUNA,"$40,98",2.7%,-11.3%,8.4%,$1 490 586 699,$16 436 762 536
Avalanche AVAX AVAX,"$63,39",2.3%,-10.1%,11.2%,$982 003 373,$13 963 754 818
Chainlink LINK LINK,"$29,83",2.6%,-6.0%,15.0%,$2 321 762 491,$13 668 589 212
Wrapped Bitcoin WBTC WBTC,$59 151,0.8%,-5.3%,-8.0%,$532 857 294,$13 177 465 252
Uniswap UNI UNI,"$24,97",1.8%,-9.5%,-4.1%,$688 050 068,$12 981 021 893
Binance USD BUSD BUSD,"$1,01",0.8%,0.0%,0.4%,$9 654 428 196,$12 812 313 894
Litecoin LTC LTC,"$185,44",1.8%,-4.1%,-1.9%,$3 136 555 082,$12 688 937 921
Polygon MATIC MATIC,"$1,83",1.7%,-0.1%,23.4%,$2 543 927 876,$12 311 337 071
Algorand ALGO ALGO,"$1,84",1.5%,-9.2%,7.5%,$734 911 563,$11 366 628 549
Cosmos ATOM ATOM,"$38,23",2.5%,-6.4%,9.4%,$1 825 564 500,$10 759 899 333
Bitcoin Cash BCH BCH,"$562,33",0.9%,-9.3%,-9.4%,$7 378 322 865,$10 650 203 853
